DATE|TIME|DESCRIPTION|VENDOR|AMOUNT
2024-10-17|20:05:23|Netflix.com Subscription|Netflix|$-15.99
2024-09-25|11:15:51|Whole Foods Market #1293 Dallas TX|Whole Foods|$-45.50
2024-11-28|19:20:34|Home Depot #9874 Garland TX|Home Depot|$-58.63
2025-04-21|20:46:08|AMZN Mktp US|Amazon|-$30.00
2025-04-20|12:33:00|McDonald's #1423 DALLAS TX|McDonald's|-$8.74
2025-04-19|18:15:00|Walmart Supercenter 3205 TX|Walmart|-$45.34
2025-04-18|10:02:00|H-E-B Grocery #6587 DALLAS TX|H-E-B|-$62.12
2025-04-17|14:29:00|Target T-2317 Irving TX|Target|-$42.00
2025-04-17|17:41:00|Zelle Transfer to N.ROLLINS|Zelle|-$411.02
2025-04-16|13:14:00|Apple Store #R147 DALLAS TX|Apple Store|-$200.00
2025-04-15|11:57:00|Cash App Cash-Out Transfer to $johnnyg|Cash app|-$3.00
2025-04-15|7:38:00|Starbucks #05219 Addison TX|Starbucks|-$25.25
2025-04-14|15:03:00|LSC Auto Repair Los Santos|Los Santos Customs|-$777.00
2025-04-14|21:18:00|Elysian Prometheus Lounge TX|The Elysian Prometheus Reserve|"-$3|205.34"
2025-04-13|19:06:00|Shell Oil 1234567890 Carrollton TX|Shell Gas|-$37.91
2025-04-12|11:21:00|Home Depot #6572 Plano TX|Home Depot|-$18.25
2025-04-12|0:01:00|Netflix.com 408-****** CA*|Netflix|-$32.32
2025-04-11|16:52:00|Best Buy 421 DALLAS TX|Best Buy|-$500.55
2025-04-10|15:47:00|GameStop #3258 Addison TX|GameStop|-$95.08
2025-04-09|20:10:00|Nike.com Purchase OR|Nike|-$370.00
2025-04-09|9:40:00|CVS PHARMACY #10325 Carrollton TX|CVS Pharmacy|-$15.11
2025-04-08|17:30:00|Costco Wholesale #0447 DFW TX|Costco|-$86.31
2025-05-01|23:51:06|New Deposit|Myself|+$340.00
2025-05-02|8:01:11|New Shoes|Adidas|+$125.00
2025-05-02|8:02:54|New Glasses|Ray-Bans|+$75.99
2025-05-02|08:03:49|Old Tee|Max's Customs|-$230.00
